Size,DataType,Algorithm,TimeMicroseconds
4600,Random,MergeSort,1675.400000
4600,Random,HybridMergeSort,773.200000
4600,Reversed,MergeSort,1361.600000
4600,Reversed,HybridMergeSort,677.800000
4600,AlmostSorted,MergeSort,1425.200000
4600,AlmostSorted,HybridMergeSort,455.200000
4700,Random,MergeSort,1715.200000
4700,Random,HybridMergeSort,790.200000
4700,Reversed,MergeSort,1389.200000
4700,Reversed,HybridMergeSort,700.400000
4700,AlmostSorted,MergeSort,1448.000000
4700,AlmostSorted,HybridMergeSort,469.400000
4800,Random,MergeSort,1758.400000
4800,Random,HybridMergeSort,811.600000
4800,Reversed,MergeSort,1425.800000
4800,Reversed,HybridMergeSort,716.600000
4800,AlmostSorted,MergeSort,1486.800000
4800,AlmostSorted,HybridMergeSort,478.000000
4900,Random,MergeSort,1823.400000
4900,Random,HybridMergeSort,841.200000
4900,Reversed,MergeSort,1492.800000
4900,Reversed,HybridMergeSort,760.000000
4900,AlmostSorted,MergeSort,1546.200000
4900,AlmostSorted,HybridMergeSort,488.200000
5000,Random,MergeSort,1866.000000
5000,Random,HybridMergeSort,860.400000
5000,Reversed,MergeSort,1522.600000
5000,Reversed,HybridMergeSort,773.800000
5000,AlmostSorted,MergeSort,1568.200000
5000,AlmostSorted,HybridMergeSort,487.800000
5100,Random,MergeSort,1876.800000
5100,Random,HybridMergeSort,872.200000
5100,Reversed,MergeSort,1510.600000
5100,Reversed,HybridMergeSort,777.400000
5100,AlmostSorted,MergeSort,1593.000000
5100,AlmostSorted,HybridMergeSort,502.200000
5200,Random,MergeSort,1909.800000
5200,Random,HybridMergeSort,887.400000
5200,Reversed,MergeSort,1544.000000
5200,Reversed,HybridMergeSort,804.000000
5200,AlmostSorted,MergeSort,1623.400000
5200,AlmostSorted,HybridMergeSort,512.000000
5300,Random,MergeSort,1954.200000
5300,Random,HybridMergeSort,911.600000
5300,Reversed,MergeSort,1573.000000
5300,Reversed,HybridMergeSort,820.800000
5300,AlmostSorted,MergeSort,1662.600000
5300,AlmostSorted,HybridMergeSort,521.800000
5400,Random,MergeSort,1985.800000
5400,Random,HybridMergeSort,932.400000
5400,Reversed,MergeSort,1605.800000
5400,Reversed,HybridMergeSort,844.800000
