array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
random;standard_quick_sort;1500;6742;254355;yes
reverse_sorted;standard_quick_sort;1500;35799;1474465;yes
almost_sorted;standard_quick_sort;1500;6989;270675;yes
same_prefix;standard_quick_sort;1500;14942;599977;yes
random;standard_merge_sort;1500;2417;19132;yes
reverse_sorted;standard_merge_sort;1500;2012;12197;yes
almost_sorted;standard_merge_sort;1500;2191;19023;yes
same_prefix;standard_merge_sort;1500;6992;214484;yes
random;string_quick_sort;1500;1007;16028;yes
reverse_sorted;string_quick_sort;1500;2809;46149;yes
almost_sorted;string_quick_sort;1500;1154;20148;yes
same_prefix;string_quick_sort;1500;1233;37126;yes
random;string_merge_sort;1500;2371;19132;yes
reverse_sorted;string_merge_sort;1500;2016;12197;yes
almost_sorted;string_merge_sort;1500;2201;19023;yes
same_prefix;string_merge_sort;1500;6970;214484;yes
random;msd_radix_sort;1500;846;6738;yes
reverse_sorted;msd_radix_sort;1500;1050;7294;yes
almost_sorted;msd_radix_sort;1500;1020;7166;yes
same_prefix;msd_radix_sort;1500;2020;48676;yes
random;msd_radix_quick_sort;1500;573;9338;yes
reverse_sorted;msd_radix_quick_sort;1500;1538;27010;yes
almost_sorted;msd_radix_quick_sort;1500;731;12714;yes
same_prefix;msd_radix_quick_sort;1500;1711;51311;yes
random;standard_quick_sort;1600;7264;280994;yes
reverse_sorted;standard_quick_sort;1600;40788;1653935;yes
almost_sorted;standard_quick_sort;1600;7205;289444;yes
same_prefix;standard_quick_sort;1600;15012;622985;yes
random;standard_merge_sort;1600;2385;20695;yes
reverse_sorted;standard_merge_sort;1600;2137;13045;yes
almost_sorted;standard_merge_sort;1600;2328;20327;yes
same_prefix;standard_merge_sort;1600;7438;230632;yes
random;string_quick_sort;1600;1087;17562;yes
reverse_sorted;string_quick_sort;1600;3039;51696;yes
almost_sorted;string_quick_sort;1600;1207;20973;yes
same_prefix;string_quick_sort;1600;1341;40086;yes
random;string_merge_sort;1600;2412;20695;yes
reverse_sorted;string_merge_sort;1600;2130;13045;yes
almost_sorted;string_merge_sort;1600;2307;20327;yes
same_prefix;string_merge_sort;1600;7259;230632;yes
random;msd_radix_sort;1600;923;7244;yes
reverse_sorted;msd_radix_sort;1600;1111;7772;yes
almost_sorted;msd_radix_sort;1600;1104;7672;yes
same_prefix;msd_radix_sort;1600;2065;51946;yes
random;msd_radix_quick_sort;1600;605;10183;yes
reverse_sorted;msd_radix_quick_sort;1600;1630;29053;yes
almost_sorted;msd_radix_quick_sort;1600;780;13559;yes
same_prefix;msd_radix_quick_sort;1600;1783;54884;yes
random;standard_quick_sort;1700;7659;293934;yes
reverse_sorted;standard_quick_sort;1700;44021;1839899;yes
almost_sorted;standard_quick_sort;1700;7776;299478;yes
same_prefix;standard_quick_sort;1700;16294;656203;yes
random;standard_merge_sort;1700;2584;22301;yes
reverse_sorted;standard_merge_sort;1700;2277;13805;yes
almost_sorted;standard_merge_sort;1700;2475;21778;yes
same_prefix;standard_merge_sort;1700;8031;247631;yes
random;string_quick_sort;1700;1131;18252;yes
reverse_sorted;string_quick_sort;1700;3359;56869;yes
almost_sorted;string_quick_sort;1700;1261;21920;yes
same_prefix;string_quick_sort;1700;1397;42130;yes
random;string_merge_sort;1700;2565;22301;yes
reverse_sorted;string_merge_sort;1700;2260;13805;yes
almost_sorted;string_merge_sort;1700;2458;21778;yes
same_prefix;string_merge_sort;1700;7760;247631;yes
random;msd_radix_sort;1700;1004;7744;yes
reverse_sorted;msd_radix_sort;1700;1186;8240;yes
almost_sorted;msd_radix_sort;1700;1180;8162;yes
same_prefix;msd_radix_sort;1700;2209;55246;yes
random;msd_radix_quick_sort;1700;649;10979;yes
reverse_sorted;msd_radix_quick_sort;1700;1750;31119;yes
almost_sorted;msd_radix_quick_sort;1700;824;14322;yes
same_prefix;msd_radix_quick_sort;1700;1935;58469;yes
